model,tag,n,coverage,mean_cer,mean_wer,mean_reading_order_f1,mean_math_symbol_f1,mean_token_recall,mean_token_f1,mean_char_lcs_recall
allenai/olmOCR-2-7B-1025,equation,50,1.0,0.49594591517765446,0.5168374566375197,0.28188884353684734,0.6648205372750131,0.8079564741731418,0.6596503410148117,0.8441173157206607
allenai/olmOCR-2-7B-1025,table,14,1.0,0.6858574575067744,0.675549400652858,0.15879951073067775,0.5096423864182819,0.7600079270730841,0.5369859637763689,0.7922820882822862
allenai/olmOCR-2-7B-1025,multi_column,32,1.0,0.5377344129699159,0.5556743040582672,0.2400242310022518,0.6410347971669476,0.7848103439407197,0.6363302953044063,0.8205247754511259
allenai/olmOCR-2-7B-1025,diagram,15,1.0,0.5811381112840096,0.6013604654212495,0.3051327365860581,0.7472689799433986,0.7056020241282435,0.6047105088105086,0.8030913384823254
PaddlePaddle/PaddleOCR-VL-0.9B,equation,50,1.0,0.47007850946561897,0.47245335883783723,0.3984534732471777,0.7100452102808812,0.7852188469416684,0.6600226138170586,0.7983714555260455
PaddlePaddle/PaddleOCR-VL-0.9B,table,14,1.0,0.6804119262273025,0.6843372653083241,0.24836543188052515,0.5214884542265494,0.7311122065191376,0.47432925409509064,0.7395886382550693
PaddlePaddle/PaddleOCR-VL-0.9B,multi_column,32,1.0,0.5908071307697894,0.5950876460334967,0.3097828599959209,0.636504145313692,0.6828744302797561,0.5575572741382582,0.700153267442299
PaddlePaddle/PaddleOCR-VL-0.9B,diagram,15,1.0,0.5185444691405854,0.5253206116016815,0.33044805394394355,0.7946326808516513,0.6798227012102485,0.6211635093802939,0.7376318142068318
deepseek-ai/DeepSeek-OCR,equation,50,1.0,0.5936130293802622,0.6622429353234246,0.13970350956491587,0.4713892507883011,0.7137740626841161,0.5107132158692615,0.7486472327529171
deepseek-ai/DeepSeek-OCR,table,14,1.0,0.7808567102260999,0.8279127235840738,0.032245295779130365,0.3021907122790795,0.5498705663926372,0.31490757550024007,0.5906419295300316
deepseek-ai/DeepSeek-OCR,multi_column,32,1.0,0.6744665529392063,0.7458444799781269,0.08468997273688252,0.4566159299662442,0.608734543570072,0.42466096210570703,0.6490576634770265
deepseek-ai/DeepSeek-OCR,diagram,15,1.0,0.6348690746085089,0.7123684523011481,0.217878433188778,0.5483882401545663,0.6780263286879525,0.5081609523092848,0.7349894578758605
